Player,Opp,Made,0-19,20-29,30-39,40-49,50+,Points,Week,Name,_position,_team
Will Reichard K - MIN,@CHI,2.18,0.0,0.33,0.49,0.38,0.16,6.58,12,Will Reichard,K,MIN
Eddy Pineiro K - CAR Q View News,KC,1.88,0.0,0.33,0.44,0.33,0.22,6.28,12,Eddy Pineiro,K,CAR
Joey Slye K - NE View News,@MIA,0.47,0.0,0.09,0.09,0.09,0.05,1.53,12,Joey Slye,K,NE
Mike Badgley K - DET IR,@IND,0.0,0.0,0.0,0.0,0.0,0.0,0.00,12,Mike Badgley,K,DET
Harrison Butker K - KC,LV,3.18,0.0,0.5,0.62,0.44,0.31,9.41,13,Harrison Butker,K,KC
Brandon Aubrey K - DAL,NYG,3.02,0.0,0.57,0.57,0.44,0.31,9.31,13,Brandon Aubrey,K,DAL
Justin Tucker K - BAL,PHI,2.95,0.0,0.49,0.55,0.55,0.31,9.27,13,Justin Tucker,K,BAL
Evan McPherson K - CIN,PIT,2.92,0.0,0.43,0.49,0.55,0.3,8.83,13,Evan McPherson,K,CIN
Younghoe Koo K - ATL,LAC,2.38,0.0,0.49,0.55,0.43,0.37,8.64,13,Younghoe Koo,K,ATL
Greg Zuerlein K - NYJ,SEA,2.47,0.0,0.43,0.56,0.49,0.31,8.46,13,Greg Zuerlein,K,NYJ
Jake Moody K - SF,@BUF,2.91,0.0,0.42,0.55,0.42,0.24,8.28,13,Jake Moody,K,SF
Ka'imi Fairbairn K - HOU,@JAX,2.78,0.0,0.41,0.53,0.41,0.24,8.03,13,Ka'imi Fairbairn,K,HOU
Cameron Dicker K - LAC,@ATL,2.34,0.0,0.41,0.53,0.47,0.29,8.02,13,Cameron Dicker,K,LAC
Dustin Hopkins K - CLE Q,@DEN,2.43,0.0,0.42,0.53,0.47,0.24,7.89,13,Dustin Hopkins,K,CLE
Tyler Bass K - BUF,SF,2.58,0.0,0.41,0.53,0.41,0.23,7.78,13,Tyler Bass,K,BUF
Jason Sanders K - MIA,@GB,2.71,0.0,0.41,0.47,0.41,0.24,7.78,13,Jason Sanders,K,MIA
Jake Bates K - DET,CHI,2.84,0.0,0.36,0.48,0.48,0.18,7.70,13,Jake Bates,K,DET
Matt Gay K - IND,@NE,2.07,0.0,0.41,0.53,0.41,0.3,7.62,13,Matt Gay,K,IND
Chase McLaughlin K - TB,@CAR,2.05,0.0,0.41,0.53,0.41,0.29,7.55,13,Chase McLaughlin,K,TB
Matt Prater K - ARI,@MIN,2.03,0.0,0.41,0.52,0.41,0.29,7.50,13,Matt Prater,K,ARI
Jake Elliott K - PHI,@BAL,2.35,0.0,0.4,0.46,0.46,0.23,7.46,13,Jake Elliott,K,PHI
Cairo Santos K - CHI,@DET,2.19,0.0,0.41,0.47,0.47,0.24,7.44,13,Cairo Santos,K,CHI
Nick Folk K - TEN,@WAS,1.93,0.0,0.41,0.53,0.41,0.29,7.43,13,Nick Folk,K,TEN
Blake Grupe K - NO,LAR,2.23,0.0,0.41,0.53,0.41,0.23,7.43,13,Blake Grupe,K,NO
Daniel Carlson K - LV,@KC,1.99,0.0,0.44,0.5,0.39,0.28,7.38,13,Daniel Carlson,K,LV
Joshua Karty K - LAR,@NO,2.47,0.0,0.4,0.46,0.46,0.17,7.28,13,Joshua Karty,K,LAR
Chris Boswell K - PIT,@CIN,1.95,0.0,0.39,0.5,0.39,0.28,7.19,13,Chris Boswell,K,PIT
Jason Myers K - SEA,@NYJ,2.17,0.0,0.4,0.51,0.46,0.17,7.13,13,Jason Myers,K,SEA
Graham Gano K - NYG,@DAL,1.8,0.0,0.38,0.49,0.38,0.27,6.90,13,Graham Gano,K,NYG
Harrison Butker K - KC,LAC,3.15,0.0,0.49,0.62,0.43,0.31,9.32,14,Harrison Butker,K,KC
Brandon Aubrey K - DAL,CIN,2.92,0.0,0.55,0.55,0.43,0.3,9.01,14,Brandon Aubrey,K,DAL
Evan McPherson K - CIN,@DAL,2.87,0.0,0.42,0.48,0.54,0.3,8.69,14,Evan McPherson,K,CIN
Jake Moody K - SF,CHI,3.01,0.0,0.44,0.56,0.44,0.25,8.58,14,Jake Moody,K,SF
Younghoe Koo K - ATL,@MIN,2.3,0.0,0.47,0.53,0.41,0.35,8.28,14,Younghoe Koo,K,ATL
Jake Elliott K - PHI,CAR,2.56,0.0,0.44,0.5,0.5,0.25,8.13,14,Jake Elliott,K,PHI
Jason Sanders K - MIA,NYJ,2.8,0.0,0.43,0.49,0.43,0.24,8.05,14,Jason Sanders,K,MIA
Tyler Bass K - BUF,@LAR,2.67,0.0,0.42,0.55,0.42,0.24,8.04,14,Tyler Bass,K,BUF
Greg Zuerlein K - NYJ,@MIA,2.35,0.0,0.41,0.53,0.47,0.29,8.03,14,Greg Zuerlein,K,NYJ
Matt Prater K - ARI,SEA,2.09,0.0,0.42,0.54,0.42,0.3,7.73,14,Matt Prater,K,ARI
Daniel Carlson K - LV,@TB,2.06,0.0,0.46,0.52,0.4,0.29,7.65,14,Daniel Carlson,K,LV
Dustin Hopkins K - CLE Q,@PIT,2.35,0.0,0.4,0.52,0.46,0.23,7.64,14,Dustin Hopkins,K,CLE
Chase McLaughlin K - TB,LV,2.06,0.0,0.41,0.53,0.41,0.29,7.56,14,Chase McLaughlin,K,TB
Blake Grupe K - NO,@NYG,2.17,0.0,0.4,0.51,0.4,0.29,7.55,14,Blake Grupe,K,NO
Jake Bates K - DET,GB,2.76,0.0,0.35,0.47,0.47,0.18,7.53,14,Jake Bates,K,DET
Chris Boswell K - PIT,CLE,2.04,0.0,0.41,0.52,0.41,0.29,7.51,14,Chris Boswell,K,PIT
Cameron Dicker K - LAC,@KC,2.2,0.0,0.38,0.49,0.44,0.27,7.48,14,Cameron Dicker,K,LAC
Jason Myers K - SEA,@ARI,2.23,0.0,0.41,0.53,0.47,0.18,7.36,14,Jason Myers,K,SEA
Nick Folk K - TEN,JAX,1.91,0.0,0.4,0.52,0.4,0.29,7.32,14,Nick Folk,K,TEN
Joshua Karty K - LAR,BUF,2.45,0.0,0.4,0.46,0.46,0.17,7.26,14,Joshua Karty,K,LAR
Cairo Santos K - CHI,@SF,2.11,0.0,0.4,0.46,0.46,0.23,7.22,14,Cairo Santos,K,CHI
Graham Gano K - NYG,NO,1.85,0.0,0.39,0.5,0.39,0.28,7.09,14,Graham Gano,K,NYG
Will Reichard K - MIN,ATL,2.22,0.0,0.33,0.5,0.39,0.17,6.73,14,Will Reichard,K,MIN
Cam Little K - JAX,@TEN,2.27,0.0,0.34,0.51,0.34,0.17,6.69,14,Cam Little,K,JAX
Eddy Pineiro K - CAR Q View News,@PHI,1.86,0.0,0.33,0.44,0.33,0.22,6.26,14,Eddy Pineiro,K,CAR
Justin Tucker K - BAL,@NYG,2.95,0.0,0.49,0.55,0.55,0.31,9.27,15,Justin Tucker,K,BAL
Harrison Butker K - KC,@CLE,3.11,0.0,0.49,0.61,0.43,0.3,9.20,15,Harrison Butker,K,KC
Brandon Aubrey K - DAL,@CAR,2.95,0.0,0.55,0.55,0.43,0.31,9.09,15,Brandon Aubrey,K,DAL
Evan McPherson K - CIN,@TEN,2.95,0.0,0.43,0.49,0.55,0.31,8.91,15,Evan McPherson,K,CIN
Jake Moody K - SF,LAR,3.02,0.0,0.44,0.57,0.44,0.25,8.62,15,Jake Moody,K,SF
Ka'imi Fairbairn K - HOU,MIA,2.92,0.0,0.44,0.56,0.44,0.25,8.49,15,Ka'imi Fairbairn,K,HOU
Younghoe Koo K - ATL,@LV,2.31,0.0,0.47,0.53,0.42,0.36,8.37,15,Younghoe Koo,K,ATL
Greg Zuerlein K - NYJ,@JAX,2.38,0.0,0.42,0.54,0.48,0.3,8.20,15,Greg Zuerlein,K,NYJ
Cameron Dicker K - LAC,TB,2.35,0.0,0.41,0.53,0.47,0.29,8.03,15,Cameron Dicker,K,LAC
Tyler Bass K - BUF,@DET,2.66,0.0,0.42,0.54,0.42,0.24,8.00,15,Tyler Bass,K,BUF
Jason Sanders K - MIA,@HOU,2.74,0.0,0.42,0.48,0.42,0.24,7.90,15,Jason Sanders,K,MIA
Jake Elliott K - PHI,PIT,2.46,0.0,0.42,0.48,0.48,0.24,7.80,15,Jake Elliott,K,PHI
Daniel Carlson K - LV,ATL,2.1,0.0,0.47,0.52,0.41,0.29,7.75,15,Daniel Carlson,K,LV
Matt Prater K - ARI,NE,2.1,0.0,0.42,0.54,0.42,0.3,7.74,15,Matt Prater,K,ARI
Matt Gay K - IND,@DEN,2.09,0.0,0.42,0.54,0.42,0.3,7.73,15,Matt Gay,K,IND
Jake Bates K - DET,BUF,2.81,0.0,0.36,0.48,0.48,0.18,7.67,15,Jake Bates,K,DET
Dustin Hopkins K - CLE Q,KC,2.37,0.0,0.4,0.52,0.46,0.23,7.66,15,Dustin Hopkins,K,CLE
Cairo Santos K - CHI,@MIN,2.21,0.0,0.42,0.48,0.48,0.24,7.55,15,Cairo Santos,K,CHI
Blake Grupe K - NO,WAS,2.23,0.0,0.41,0.53,0.41,0.23,7.43,15,Blake Grupe,K,NO
Chris Boswell K - PIT,@PHI,2,0.0,0.4,0.51,0.4,0.29,7.38,15,Chris Boswell,K,PIT
Jason Myers K - SEA,GB,2.25,0.0,0.41,0.53,0.47,0.18,7.38,15,Jason Myers,K,SEA
Nick Folk K - TEN,CIN,1.87,0.0,0.4,0.51,0.4,0.28,7.20,15,Nick Folk,K,TEN
Chase McLaughlin K - TB,@LAC,1.95,0.0,0.39,0.5,0.39,0.28,7.19,15,Chase McLaughlin,K,TB
Wil Lutz K - DEN,IND,2.05,0.0,0.4,0.46,0.4,0.23,6.98,15,Wil Lutz,K,DEN
Graham Gano K - NYG,BAL,1.8,0.0,0.38,0.49,0.38,0.27,6.90,15,Graham Gano,K,NYG
Harrison Butker K - KC,HOU,3.16,0.0,0.5,0.62,0.43,0.31,9.36,16,Harrison Butker,K,KC
Brandon Aubrey K - DAL,TB,2.96,0.0,0.56,0.56,0.43,0.31,9.16,16,Brandon Aubrey,K,DAL
Justin Tucker K - BAL,PIT,2.9,0.0,0.48,0.54,0.54,0.3,9.08,16,Justin Tucker,K,BAL
Evan McPherson K - CIN,CLE,2.91,0.0,0.42,0.49,0.55,0.3,8.79,16,Evan McPherson,K,CIN
Younghoe Koo K - ATL,NYG,2.36,0.0,0.49,0.55,0.42,0.36,8.54,16,Younghoe Koo,K,ATL
Greg Zuerlein K - NYJ,LAR,2.46,0.0,0.43,0.55,0.49,0.31,8.42,16,Greg Zuerlein,K,NYJ
Jake Moody K - SF,@MIA,2.94,0.0,0.43,0.55,0.43,0.24,8.37,16,Jake Moody,K,SF
Tyler Bass K - BUF,NE,2.76,0.0,0.44,0.56,0.44,0.25,8.33,16,Tyler Bass,K,BUF
Cameron Dicker K - LAC,DEN,2.38,0.0,0.42,0.54,0.48,0.3,8.20,16,Cameron Dicker,K,LAC
Jason Sanders K - MIA,SF,2.77,0.0,0.42,0.48,0.42,0.24,7.93,16,Jason Sanders,K,MIA
Matt Gay K - IND,TEN,2.13,0.0,0.43,0.55,0.43,0.3,7.86,16,Matt Gay,K,IND
Jake Elliott K - PHI,@WAS,2.46,0.0,0.42,0.48,0.48,0.24,7.80,16,Jake Elliott,K,PHI
Ka'imi Fairbairn K - HOU,@KC,2.69,0.0,0.4,0.52,0.4,0.23,7.80,16,Ka'imi Fairbairn,K,HOU
Daniel Carlson K - LV,JAX,2.1,0.0,0.47,0.52,0.41,0.29,7.75,16,Daniel Carlson,K,LV
Matt Prater K - ARI,@CAR,2.08,0.0,0.42,0.53,0.42,0.3,7.69,16,Matt Prater,K,ARI
Dustin Hopkins K - CLE Q,@CIN,2.34,0.0,0.4,0.51,0.46,0.23,7.60,16,Dustin Hopkins,K,CLE
Jason Myers K - SEA,MIN,2.27,0.0,0.42,0.54,0.48,0.18,7.49,16,Jason Myers,K,SEA
Cairo Santos K - CHI,DET,2.19,0.0,0.41,0.47,0.47,0.24,7.44,16,Cairo Santos,K,CHI
Chase McLaughlin K - TB,@DAL,2,0.0,0.4,0.51,0.4,0.29,7.38,16,Chase McLaughlin,K,TB
Blake Grupe K - NO,@GB,2.13,0.0,0.39,0.5,0.39,0.28,7.37,16,Blake Grupe,K,NO
Nick Folk K - TEN,@IND,1.87,0.0,0.4,0.51,0.4,0.28,7.20,16,Nick Folk,K,TEN
Joshua Karty K - LAR,@NYJ,2.4,0.0,0.39,0.45,0.45,0.17,7.12,16,Joshua Karty,K,LAR
Graham Gano K - NYG,@ATL,1.85,0.0,0.39,0.5,0.39,0.28,7.09,16,Graham Gano,K,NYG
Jake Bates K - DET,@CHI,2.64,0.0,0.31,0.43,0.43,0.18,7.05,16,Jake Bates,K,DET
Chris Boswell K - PIT,@BAL,1.9,0.0,0.38,0.49,0.38,0.27,7.00,16,Chris Boswell,K,PIT
Evan McPherson K - CIN,DEN,3.02,0.0,0.44,0.5,0.57,0.31,9.10,17,Evan McPherson,K,CIN
Justin Tucker K - BAL,@HOU,2.89,0.0,0.48,0.54,0.54,0.3,9.07,17,Justin Tucker,K,BAL
Harrison Butker K - KC,@PIT,3.03,0.0,0.47,0.59,0.42,0.3,8.97,17,Harrison Butker,K,KC
Brandon Aubrey K - DAL,@PHI,2.81,0.0,0.53,0.53,0.41,0.29,8.67,17,Brandon Aubrey,K,DAL
Jake Moody K - SF,DET,3.03,0.0,0.44,0.57,0.44,0.25,8.63,17,Jake Moody,K,SF
Younghoe Koo K - ATL,@WAS,2.34,0.0,0.48,0.54,0.42,0.36,8.46,17,Younghoe Koo,K,ATL
Tyler Bass K - BUF,NYJ,2.65,0.0,0.42,0.54,0.42,0.24,7.99,17,Tyler Bass,K,BUF
Ka'imi Fairbairn K - HOU,BAL,2.75,0.0,0.41,0.53,0.41,0.23,7.95,17,Ka'imi Fairbairn,K,HOU
Cameron Dicker K - LAC,@NE,2.31,0.0,0.4,0.52,0.46,0.29,7.90,17,Cameron Dicker,K,LAC
Jake Elliott K - PHI,DAL,2.49,0.0,0.42,0.49,0.49,0.24,7.89,17,Jake Elliott,K,PHI
Dustin Hopkins K - CLE Q,MIA,2.43,0.0,0.42,0.53,0.47,0.24,7.89,17,Dustin Hopkins,K,CLE
Greg Zuerlein K - NYJ,@BUF,2.3,0.0,0.4,0.52,0.46,0.29,7.89,17,Greg Zuerlein,K,NYJ
Blake Grupe K - NO,LV,2.24,0.0,0.41,0.53,0.41,0.29,7.74,17,Blake Grupe,K,NO
Chase McLaughlin K - TB,CAR,2.1,0.0,0.42,0.54,0.42,0.3,7.74,17,Chase McLaughlin,K,TB
Joshua Karty K - LAR,ARI,2.6,0.0,0.42,0.48,0.48,0.18,7.64,17,Joshua Karty,K,LAR
Cairo Santos K - CHI,SEA,2.24,0.0,0.42,0.49,0.49,0.24,7.64,17,Cairo Santos,K,CHI
Matt Gay K - IND,@NYG,2.06,0.0,0.41,0.53,0.41,0.29,7.56,17,Matt Gay,K,IND
Jason Sanders K - MIA,@CLE,2.63,0.0,0.4,0.46,0.4,0.23,7.56,17,Jason Sanders,K,MIA
Daniel Carlson K - LV,@NO,2.02,0.0,0.45,0.51,0.39,0.28,7.47,17,Daniel Carlson,K,LV
Matt Prater K - ARI,@LAR,2,0.0,0.4,0.51,0.4,0.29,7.38,17,Matt Prater,K,ARI
Nick Folk K - TEN,@JAX,1.88,0.0,0.4,0.51,0.4,0.29,7.26,17,Nick Folk,K,TEN
Jake Bates K - DET,@SF,2.63,0.0,0.34,0.45,0.45,0.17,7.20,17,Jake Bates,K,DET
Graham Gano K - NYG,IND,1.87,0.0,0.4,0.51,0.4,0.28,7.20,17,Graham Gano,K,NYG
Chris Boswell K - PIT,KC,1.93,0.0,0.39,0.5,0.39,0.28,7.17,17,Chris Boswell,K,PIT
Jason Myers K - SEA,@CHI,2.17,0.0,0.4,0.51,0.46,0.17,7.13,17,Jason Myers,K,SEA
Brandon Aubrey K - DAL,WAS,2.98,0.0,0.56,0.56,0.44,0.31,9.21,18,Brandon Aubrey,K,DAL
Justin Tucker K - BAL,CLE,2.91,0.0,0.49,0.55,0.55,0.3,9.18,18,Justin Tucker,K,BAL
Harrison Butker K - KC,@DEN,3.03,0.0,0.47,0.59,0.42,0.3,8.97,18,Harrison Butker,K,KC
Younghoe Koo K - ATL,CAR,2.43,0.0,0.5,0.56,0.44,0.37,8.78,18,Younghoe Koo,K,ATL
Evan McPherson K - CIN,@PIT,2.8,0.0,0.41,0.47,0.52,0.29,8.45,18,Evan McPherson,K,CIN
Greg Zuerlein K - NYJ,MIA,2.4,0.0,0.42,0.54,0.48,0.3,8.22,18,Greg Zuerlein,K,NYJ
Jake Moody K - SF,@ARI,2.86,0.0,0.42,0.54,0.42,0.24,8.20,18,Jake Moody,K,SF
Ka'imi Fairbairn K - HOU,@TEN,2.83,0.0,0.42,0.54,0.42,0.24,8.17,18,Ka'imi Fairbairn,K,HOU
Tyler Bass K - BUF,@NE,2.65,0.0,0.42,0.54,0.42,0.24,7.99,18,Tyler Bass,K,BUF
Cameron Dicker K - LAC,@LV,2.33,0.0,0.41,0.52,0.47,0.29,7.98,18,Cameron Dicker,K,LAC
Jake Elliott K - PHI,NYG,2.46,0.0,0.42,0.48,0.48,0.24,7.80,18,Jake Elliott,K,PHI
Matt Gay K - IND,JAX,2.11,0.0,0.42,0.54,0.42,0.3,7.75,18,Matt Gay,K,IND
Jake Bates K - DET,MIN,2.81,0.0,0.36,0.48,0.48,0.18,7.67,18,Jake Bates,K,DET
Daniel Carlson K - LV,LAC,2.06,0.0,0.46,0.52,0.4,0.29,7.65,18,Daniel Carlson,K,LV
Joshua Karty K - LAR,SEA,2.57,0.0,0.42,0.48,0.48,0.18,7.61,18,Joshua Karty,K,LAR
Chase McLaughlin K - TB,NO,2.06,0.0,0.41,0.53,0.41,0.29,7.56,18,Chase McLaughlin,K,TB
Jason Sanders K - MIA,@NYJ,2.62,0.0,0.4,0.46,0.4,0.23,7.55,18,Jason Sanders,K,MIA
Dustin Hopkins K - CLE Q,@BAL,2.3,0.0,0.39,0.5,0.45,0.22,7.42,18,Dustin Hopkins,K,CLE
Chris Boswell K - PIT,CIN,2,0.0,0.4,0.52,0.4,0.29,7.41,18,Chris Boswell,K,PIT
Blake Grupe K - NO,@TB,2.14,0.0,0.39,0.51,0.39,0.28,7.41,18,Blake Grupe,K,NO
Nick Folk K - TEN,HOU,1.88,0.0,0.4,0.51,0.4,0.29,7.26,18,Nick Folk,K,TEN
Cairo Santos K - CHI,@GB,2.13,0.0,0.4,0.46,0.46,0.23,7.24,18,Cairo Santos,K,CHI
Matt Prater K - ARI,SF,1.94,0.0,0.39,0.5,0.39,0.28,7.18,18,Matt Prater,K,ARI
Jason Myers K - SEA,@LAR,2.16,0.0,0.4,0.51,0.45,0.17,7.09,18,Jason Myers,K,SEA
Graham Gano K - NYG,@PHI,1.81,0.0,0.38,0.49,0.38,0.27,6.91,18,Graham Gano,K,NYG
