Player,Opp,Made,0-19,20-29,30-39,40-49,50+,Points,Week,Name,_position,_team
Cam Little K - JAX,IND,2.33,0.0,0.35,0.52,0.35,0.17,6.84,5,Cam Little,K,JAX
Will Reichard K - MIN,NYJ,2.15,0.0,0.32,0.48,0.38,0.16,6.49,5,Will Reichard,K,MIN
Eddy Pineiro K - CAR Q View News,@CHI,1.84,0.0,0.33,0.43,0.33,0.22,6.21,5,Eddy Pineiro,K,CAR
Justin Tucker K - BAL,WAS,3.05,0.0,0.51,0.57,0.57,0.32,9.60,6,Justin Tucker,K,BAL
Brandon Aubrey K - DAL,DET,2.91,0.0,0.55,0.55,0.42,0.3,8.97,6,Brandon Aubrey,K,DAL
Evan McPherson K - CIN,@NYG,2.92,0.0,0.43,0.49,0.55,0.3,8.83,6,Evan McPherson,K,CIN
Jake Moody K - SF,@SEA,2.97,0.0,0.43,0.56,0.43,0.25,8.48,6,Jake Moody,K,SF
Younghoe Koo K - ATL,@CAR,2.33,0.0,0.48,0.54,0.42,0.36,8.45,6,Younghoe Koo,K,ATL
Greg Zuerlein K - NYJ,BUF,2.43,0.0,0.42,0.55,0.49,0.3,8.31,6,Greg Zuerlein,K,NYJ
Ka'imi Fairbairn K - HOU,@NE,2.84,0.0,0.42,0.54,0.42,0.24,8.18,6,Ka'imi Fairbairn,K,HOU
Cameron Dicker K - LAC,@DEN,2.34,0.0,0.41,0.53,0.47,0.29,8.02,6,Cameron Dicker,K,LAC
Tyler Bass K - BUF,@NYJ,2.6,0.0,0.41,0.53,0.41,0.24,7.85,6,Tyler Bass,K,BUF
Jake Elliott K - PHI,CLE,2.48,0.0,0.42,0.48,0.48,0.24,7.82,6,Jake Elliott,K,PHI
Dustin Hopkins K - CLE Q,@PHI,2.35,0.0,0.4,0.52,0.46,0.23,7.64,6,Dustin Hopkins,K,CLE
Matt Gay K - IND,@TEN,2.07,0.0,0.41,0.53,0.41,0.3,7.62,6,Matt Gay,K,IND
Daniel Carlson K - LV,PIT,2.03,0.0,0.45,0.51,0.4,0.28,7.51,6,Daniel Carlson,K,LV
Cairo Santos K - CHI,JAX,2.2,0.0,0.42,0.47,0.47,0.24,7.48,6,Cairo Santos,K,CHI
Chris Boswell K - PIT,@LV,2.01,0.0,0.4,0.52,0.4,0.29,7.42,6,Chris Boswell,K,PIT
Blake Grupe K - NO,TB,2.22,0.0,0.41,0.52,0.41,0.23,7.39,6,Blake Grupe,K,NO
Chase McLaughlin K - TB,@NO,1.99,0.0,0.4,0.51,0.4,0.28,7.32,6,Chase McLaughlin,K,TB
Matt Prater K - ARI,@GB,1.99,0.0,0.4,0.51,0.4,0.28,7.32,6,Matt Prater,K,ARI
Nick Folk K - TEN,IND,1.9,0.0,0.4,0.52,0.4,0.29,7.31,6,Nick Folk,K,TEN
Graham Gano K - NYG,CIN,1.86,0.0,0.39,0.51,0.39,0.28,7.13,6,Graham Gano,K,NYG
