Player,Opp,Yds,TD,Int,Yds,TD,Rec,Yds,TD,TD,FumTD,2PT,Lost,Points,Week,Name,_position,_team
Jordan Addison WR - MIN Q,@NYG,0.0,0.0,0.0,1.07,0.0,4.13,57.21,0.34,0.0,0.0,0.0,0.06,11.88,1,Jordan Addison,WR,MIN
Terry McLaurin WR - WAS,@TB,0.0,0.0,0.0,0.33,0.0,4.28,56.48,0.29,0.0,0.0,0.0,0.06,11.58,1,Terry McLaurin,WR,WAS
Diontae Johnson WR - CAR,@NO,0.0,0.0,0.0,0.8,0.0,4.85,50.75,0.28,0.0,0.0,0.0,0.06,11.57,1,Diontae Johnson,WR,CAR
Rome Odunze WR - CHI,TEN,0.0,0.0,0.0,0.4,0.0,4.02,54.42,0.34,0.0,0.0,0.0,0.06,11.42,1,Rome Odunze,WR,CHI
Xavier Worthy WR - KC,BAL,0.0,0.0,0.0,1.31,0.0,3.82,51.23,0.37,0.0,0.0,0.0,0.0,11.29,1,Xavier Worthy,WR,KC
Tyler Lockett WR - SEA Q,DEN,0.0,0.0,0.0,0.32,0.0,4.09,49.15,0.32,0.0,0.0,0.0,0.06,10.84,1,Tyler Lockett,WR,SEA
Jaxon Smith-Njigba WR - SEA,DEN,0.0,0.0,0.0,0.64,0.0,4.3,46.34,0.32,0.0,0.0,0.0,0.06,10.80,1,Jaxon Smith-Njigba,WR,SEA
Romeo Doubs WR - GB,@PHI,0.0,0.0,0.0,0.32,0.0,3.97,49.58,0.32,0.0,0.0,0.0,0.07,10.74,1,Romeo Doubs,WR,GB
Curtis Samuel WR - BUF Q,ARI,0.0,0.0,0.0,5.4,0.06,3.98,44.42,0.25,0.0,0.0,0.0,0.06,10.70,1,Curtis Samuel,WR,BUF
Josh Palmer WR - LAC,LV,0.0,0.0,0.0,0.45,0.0,3.81,47.61,0.36,0.0,0.0,0.0,0.06,10.66,1,Josh Palmer,WR,LAC
DeAndre Hopkins WR - TEN Q,@CHI,0.0,0.0,0.0,0.49,0.0,3.99,47.75,0.31,0.0,0.0,0.0,0.06,10.55,1,DeAndre Hopkins,WR,TEN
Ladd McConkey WR - LAC,LV,0.0,0.0,0.0,0.6,0.0,3.63,44.24,0.36,0.0,0.0,0.0,0.0,10.27,1,Ladd McConkey,WR,LAC
Christian Watson WR - GB,@PHI,0.0,0.0,0.0,1.63,0.0,3.38,46.74,0.36,0.0,0.0,0.0,0.06,10.26,1,Christian Watson,WR,GB
Courtland Sutton WR - DEN,@SEA,0.0,0.0,0.0,0.3,0.0,3.59,48.33,0.3,0.0,0.0,0.0,0.06,10.13,1,Courtland Sutton,WR,DEN
Khalil Shakir WR - BUF,ARI,0.0,0.0,0.0,0.49,0.0,3.75,44.46,0.31,0.0,0.0,0.0,0.0,10.11,1,Khalil Shakir,WR,BUF
Wan'Dale Robinson WR - NYG,MIN,0.0,0.0,0.0,3.8,0.0,3.99,40.87,0.28,0.0,0.0,0.0,0.07,10.00,1,Wan'Dale Robinson,WR,NYG
Jerry Jeudy WR - CLE,DAL,0.0,0.0,0.0,0.78,0.0,3.61,46.1,0.3,0.0,0.0,0.0,0.06,9.98,1,Jerry Jeudy,WR,CLE
Marquise Brown WR - KC Q,BAL,0.0,0.0,0.0,0.81,0.0,3.41,47.49,0.29,0.0,0.0,0.0,0.06,9.86,1,Marquise Brown,WR,KC
Keon Coleman WR - BUF,ARI,0.0,0.0,0.0,0.31,0.0,3.45,45.78,0.31,0.0,0.0,0.0,0.06,9.80,1,Keon Coleman,WR,BUF
Jakobi Meyers WR - LV,@LAC,0.77,0.0,0.0,1.35,0.0,3.86,43.75,0.25,0.0,0.0,0.0,0.07,9.76,1,Jakobi Meyers,WR,LV
Brian Thomas Jr. WR - JAX,@MIA,0.0,0.0,0.0,0.83,0.0,3.49,45.1,0.3,0.0,0.0,0.0,0.06,9.76,1,Brian Thomas Jr.,WR,JAX
Rashid Shaheed WR - NO Q View News,CAR,0.0,0.0,0.0,3.25,0.0,3.25,43.8,0.25,0.06,0.0,0.0,0.07,9.68,1,Rashid Shaheed,WR,NO
Gabe Davis WR - JAX,@MIA,0.0,0.0,0.0,0.31,0.0,3.21,46.35,0.31,0.0,0.0,0.0,0.06,9.62,1,Gabe Davis,WR,JAX
Jalen McMillan WR - TB,WAS,0.0,0.0,0.0,1.51,0.0,3.78,40.04,0.27,0.0,0.0,0.0,0.0,9.56,1,Jalen McMillan,WR,TB
Jameson Williams WR - DET,LAR,0.0,0.0,0.0,1.95,0.0,3.15,44.48,0.31,0.0,0.0,0.0,0.06,9.53,1,Jameson Williams,WR,DET
Demarcus Robinson WR - LAR,@DET,0.0,0.0,0.0,0.77,0.0,3.34,41.52,0.3,0.0,0.0,0.0,0.0,9.37,1,Demarcus Robinson,WR,LAR
Adam Thielen WR - CAR,@NO,0.0,0.0,0.0,0.41,0.0,3.95,39.47,0.23,0.0,0.0,0.0,0.06,9.20,1,Adam Thielen,WR,CAR
Adonai Mitchell WR - IND,HOU,0.0,0.0,0.0,0.53,0.0,3.28,42.81,0.26,0.0,0.0,0.0,0.0,9.17,1,Adonai Mitchell,WR,IND
Brandin Cooks WR - DAL Q,@CLE,0.0,0.0,0.0,1.02,0.0,3.24,40.43,0.3,0.0,0.0,0.0,0.06,9.07,1,Brandin Cooks,WR,DAL
Josh Downs WR - IND Q,HOU,0.0,0.0,0.0,1.19,0.0,3.5,38.76,0.24,0.0,0.0,0.0,0.06,8.82,1,Josh Downs,WR,IND
Greg Dortch WR - ARI,@BUF,0.0,0.0,0.0,1.69,0.0,3.74,36.74,0.2,0.0,0.0,0.0,0.0,8.78,1,Greg Dortch,WR,ARI
Darnell Mooney WR - ATL,PIT,0.0,0.0,0.0,0.88,0.0,2.93,39.64,0.23,0.0,0.0,0.0,0.0,8.36,1,Darnell Mooney,WR,ATL
Demario Douglas WR - NE,@CIN,0.0,0.0,0.0,1.95,0.0,3.33,36.6,0.21,0.0,0.0,0.0,0.06,8.33,1,Demario Douglas,WR,NE
Michael Wilson WR - ARI,@BUF,0.0,0.0,0.0,0.3,0.0,2.89,38.71,0.24,0.0,0.0,0.0,0.0,8.23,1,Michael Wilson,WR,ARI
Jalen Tolbert WR - DAL,@CLE,0.0,0.0,0.0,0.55,0.0,3.1,36.07,0.23,0.0,0.0,0.0,0.0,8.14,1,Jalen Tolbert,WR,DAL
Rashod Bateman WR - BAL,@KC,0.0,0.0,0.0,0.3,0.0,2.74,35.07,0.24,0.0,0.0,0.0,0.0,7.72,1,Rashod Bateman,WR,BAL
K.J. Osborn WR - NE,@CIN,0.0,0.0,0.0,0.48,0.0,2.69,34.72,0.25,0.0,0.0,0.0,0.0,7.71,1,K.J. Osborn,WR,NE
Dontayvion Wicks WR - GB,@PHI,0.0,0.0,0.0,0.78,0.0,2.58,33.68,0.28,0.0,0.0,0.0,0.0,7.71,1,Dontayvion Wicks,WR,GB
Ja'Lynn Polk WR - NE,@CIN,0.0,0.0,0.0,0.74,0.0,2.86,33.95,0.21,0.0,0.0,0.0,0.0,7.59,1,Ja'Lynn Polk,WR,NE
DJ Chark WR - LAC Q,LV,0.0,0.0,0.0,0.49,0.0,2.7,35.52,0.21,0.0,0.0,0.0,0.0,7.56,1,DJ Chark,WR,LAC
Andrei Iosivas WR - CIN,NE,0.0,0.0,0.0,0.76,0.0,2.68,33.46,0.22,0.0,0.0,0.0,0.0,7.42,1,Andrei Iosivas,WR,CIN
Mike Williams WR - NYJ Q View News,@SF,0.0,0.0,0.0,0.23,0.0,2.51,34.48,0.23,0.0,0.0,0.0,0.05,7.26,1,Mike Williams,WR,NYJ
Jonathan Mingo WR - CAR,@NO,0.0,0.0,0.0,0.81,0.0,2.59,30.97,0.2,0.0,0.0,0.0,0.0,6.97,1,Jonathan Mingo,WR,CAR
Roman Wilson WR - PIT Q,@ATL,0.0,0.0,0.0,1.38,0.0,2.39,32.13,0.19,0.0,0.0,0.0,0.0,6.88,1,Roman Wilson,WR,PIT
Tre Tucker WR - LV,@LAC,0.0,0.0,0.0,2.88,0.0,2.46,26.27,0.21,0.0,0.0,0.0,0.0,6.64,1,Tre Tucker,WR,LV
Treylon Burks WR - TEN,@CHI,0.0,0.0,0.0,2.02,0.0,2.38,30.82,0.18,0.0,0.0,0.0,0.07,6.60,1,Treylon Burks,WR,TEN
Tyler Boyd WR - TEN,@CHI,0.0,0.0,0.0,0.44,0.0,2.71,27.89,0.17,0.0,0.0,0.0,0.06,6.44,1,Tyler Boyd,WR,TEN
Darius Slayton WR - NYG,MIN,0.0,0.0,0.0,0.29,0.0,2.2,31.79,0.17,0.0,0.0,0.0,0.0,6.43,1,Darius Slayton,WR,NYG
Ray-Ray McCloud WR - ATL,PIT,0.0,0.0,0.0,3.4,0.0,2.32,25.16,0.2,0.0,0.0,0.0,0.0,6.38,1,Ray-Ray McCloud,WR,ATL
Kalif Raymond WR - DET,LAR,0.0,0.0,0.0,3.8,0.0,2.16,27.12,0.17,0.0,0.0,0.0,0.0,6.27,1,Kalif Raymond,WR,DET
Josh Reynolds WR - DEN Q View News,@SEA,0.0,0.0,0.0,0.39,0.0,2.3,29.24,0.16,0.0,0.0,0.0,0.0,6.22,1,Josh Reynolds,WR,DEN
Elijah Moore WR - CLE,DAL,0.0,0.0,0.0,1.14,0.0,2.39,25.92,0.18,0.0,0.0,0.0,0.0,6.18,1,Elijah Moore,WR,CLE
Odell Beckham Jr. WR - MIA PUP View News,JAX,0.0,0.0,0.0,0.43,0.0,2.11,26.26,0.19,0.0,0.0,0.0,0.0,5.92,1,Odell Beckham Jr.,WR,MIA
Braxton Berrios WR - MIA,JAX,0.0,0.0,0.0,1.15,0.0,2.17,21.57,0.15,0.07,0.0,0.0,0.0,5.76,1,Braxton Berrios,WR,MIA
Kendrick Bourne WR - NE PUP View News,@CIN,0.0,0.0,0.0,0.62,0.0,2.03,25.61,0.16,0.0,0.0,0.0,0.0,5.61,1,Kendrick Bourne,WR,NE
Van Jefferson WR - PIT,@ATL,0.0,0.0,0.0,0.98,0.0,1.94,24.84,0.16,0.0,0.0,0.0,0.0,5.48,1,Van Jefferson,WR,PIT
Ricky Pearsall WR - SF Q,NYJ,0.0,0.0,0.0,0.64,0.0,1.92,23.16,0.19,0.0,0.0,0.0,0.0,5.44,1,Ricky Pearsall,WR,SF
Quentin Johnston WR - LAC,LV,0.0,0.0,0.0,0.24,0.0,1.97,24.71,0.16,0.0,0.0,0.0,0.0,5.43,1,Quentin Johnston,WR,LAC
Alec Pierce WR - IND,HOU,0.0,0.0,0.0,0.36,0.0,1.76,26.94,0.14,0.0,0.0,0.0,0.0,5.33,1,Alec Pierce,WR,IND
Malachi Corley WR - NYJ,@SF,0.0,0.0,0.0,1.46,0.0,2.02,21.3,0.16,0.0,0.0,0.0,0.0,5.26,1,Malachi Corley,WR,NYJ
Jahan Dotson WR - PHI,GB,0.0,0.0,0.0,0.41,0.0,1.91,24.75,0.15,0.0,0.0,0.0,0.05,5.23,1,Jahan Dotson,WR,PHI
Dyami Brown WR - WAS,@TB,0.0,0.0,0.0,0.51,0.0,1.86,22.39,0.16,0.0,0.0,0.0,0.0,5.11,1,Dyami Brown,WR,WAS
Marvin Mims Jr. WR - DEN View News,@SEA,0.0,0.0,0.0,1.05,0.0,1.68,22.57,0.11,0.06,0.0,0.0,0.0,5.06,1,Marvin Mims Jr.,WR,DEN
Olamide Zaccheaus WR - WAS,@TB,0.0,0.0,0.0,0.74,0.0,1.63,22.01,0.16,0.0,0.0,0.0,0.0,4.87,1,Olamide Zaccheaus,WR,WAS
Calvin Austin III WR - PIT,@ATL,0.0,0.0,0.0,3.25,0.0,1.77,18.93,0.12,0.0,0.0,0.0,0.0,4.71,1,Calvin Austin III,WR,PIT
Tyreek Hill WR - MIA Q,BUF,0.0,0.0,0.0,2.23,0.0,6.94,99.06,0.56,0.0,0.0,0.0,0.06,20.31,2,Tyreek Hill,WR,MIA
CeeDee Lamb WR - DAL EXE View News,NO,0.0,0.0,0.0,4.56,0.06,7.09,89.67,0.55,0.0,0.0,0.0,0.06,20.05,2,CeeDee Lamb,WR,DAL
Amon-Ra St. Brown WR - DET,TB,0.0,0.0,0.0,2.29,0.0,7.06,81.78,0.51,0.0,0.0,0.0,0.06,18.41,2,Amon-Ra St. Brown,WR,DET
Ja'Marr Chase WR - CIN View News,@KC,0.0,0.0,0.0,0.96,0.0,6.33,82.35,0.49,0.0,0.0,0.0,0.06,17.48,2,Ja'Marr Chase,WR,CIN
A.J. Brown WR - PHI,ATL,0.0,0.0,0.0,0.38,0.0,5.63,84.49,0.5,0.0,0.0,0.0,0.06,17.00,2,A.J. Brown,WR,PHI
Justin Jefferson WR - MIN,SF,0.0,0.0,0.0,0.69,0.0,6.01,81.69,0.4,0.0,0.0,0.0,0.06,16.53,2,Justin Jefferson,WR,MIN
Garrett Wilson WR - NYJ,@TEN,0.0,0.0,0.0,1.86,0.0,5.94,75.33,0.48,0.0,0.0,0.0,0.06,16.42,2,Garrett Wilson,WR,NYJ
Puka Nacua WR - LAR Q,@ARI,0.0,0.0,0.0,2.6,0.0,5.83,77.89,0.43,0.0,0.0,0.0,0.06,16.34,2,Puka Nacua,WR,LAR
Cooper Kupp WR - LAR,@ARI,0.0,0.0,0.0,1.56,0.0,5.42,64.58,0.42,0.0,0.0,0.0,0.06,14.43,2,Cooper Kupp,WR,LAR
Brandon Aiyuk WR - SF,@MIN,0.0,0.0,0.0,0.31,0.0,4.75,69.62,0.44,0.0,0.0,0.0,0.06,14.26,2,Brandon Aiyuk,WR,SF
Deebo Samuel Sr. WR - SF,@MIN,0.0,0.0,0.0,14.85,0.19,3.93,55.83,0.37,0.0,0.0,0.0,0.06,14.24,2,Deebo Samuel Sr.,WR,SF
Nico Collins WR - HOU,CHI,0.0,0.0,0.0,0.61,0.0,4.79,68.77,0.43,0.0,0.0,0.0,0.06,14.19,2,Nico Collins,WR,HOU
Jaylen Waddle WR - MIA Q,BUF,0.0,0.0,0.0,1.19,0.0,5.01,68.78,0.38,0.0,0.0,0.0,0.06,14.17,2,Jaylen Waddle,WR,MIA
Marvin Harrison Jr. WR - ARI,LAR,0.0,0.0,0.0,0.42,0.0,4.83,68.04,0.42,0.0,0.0,0.0,0.06,14.08,2,Marvin Harrison Jr.,WR,ARI
DeVonta Smith WR - PHI,ATL,0.0,0.0,0.0,0.38,0.0,5.32,65.15,0.38,0.0,0.0,0.0,0.06,14.03,2,DeVonta Smith,WR,PHI
Drake London WR - ATL,@PHI,0.0,0.0,0.0,0.64,0.0,5.03,65.6,0.41,0.0,0.0,0.0,0.06,13.99,2,Drake London,WR,ATL
Rashee Rice WR - KC,CIN,0.0,0.0,0.0,0.59,0.0,5.58,60.29,0.39,0.0,0.0,0.0,0.07,13.87,2,Rashee Rice,WR,KC
